percent_mc,mc_se,percent_mc_unw,mc_se_unw,sample_size,country,iso_code,gid_0,survey_date
0.495444,0.049287,0.584158,0.049998,101.0,Afghanistan,AFG,AFG,2020-04-29
0.63689,0.044053,0.663793,0.044844,116.0,Afghanistan,AFG,AFG,2020-05-03
0.690403,0.041066,0.637681,0.039499,138.0,Afghanistan,AFG,AFG,2020-05-04
0.628871,0.040287,0.627586,0.040259,145.0,Afghanistan,AFG,AFG,2020-05-05
0.667123,0.042577,0.640625,0.041816,128.0,Afghanistan,AFG,AFG,2020-05-06
0.585582,0.039764,0.580645,0.039697,155.0,Afghanistan,AFG,AFG,2020-05-07
0.587191,0.038604,0.626582,0.039293,158.0,Afghanistan,AFG,AFG,2020-05-08
0.534433,0.041839,0.556338,0.042008,142.0,Afghanistan,AFG,AFG,2020-05-09
0.566626,0.042974,0.578947,0.043131,133.0,Afghanistan,AFG,AFG,2020-05-10
0.566626,0.042974,0.578947,0.043131,133.0,Afghanistan,AFG,AFG,2020-05-10
0.579186,0.044951,0.586777,0.045068,121.0,Afghanistan,AFG,AFG,2020-05-11
0.560307,0.04402,0.5625,0.044044,128.0,Afghanistan,AFG,AFG,2020-05-12
0.562913,0.042057,0.564286,0.042072,140.0,Afghanistan,AFG,AFG,2020-05-13
0.65581,0.046076,0.636364,0.045507,110.0,Afghanistan,AFG,AFG,2020-05-14
0.585459,0.038882,0.590062,0.038947,161.0,Afghanistan,AFG,AFG,2020-05-15
0.630004,0.036346,0.604396,0.035886,182.0,Afghanistan,AFG,AFG,2020-05-16
0.655803,0.035685,0.664773,0.035915,176.0,Afghanistan,AFG,AFG,2020-05-17
0.662096,0.033156,0.688776,0.033872,196.0,Afghanistan,AFG,AFG,2020-05-18
0.590137,0.037792,0.607143,0.038057,168.0,Afghanistan,AFG,AFG,2020-05-19
0.575434,0.033715,0.588785,0.033867,214.0,Afghanistan,AFG,AFG,2020-05-20
0.575434,0.033715,0.588785,0.033867,214.0,Afghanistan,AFG,AFG,2020-05-20
0.63131,0.036586,0.587912,0.03586,182.0,Afghanistan,AFG,AFG,2020-05-21
0.504518,0.036271,0.536842,0.036368,190.0,Afghanistan,AFG,AFG,2020-05-22
0.608502,0.037936,0.582353,0.037545,170.0,Afghanistan,AFG,AFG,2020-05-23
0.700932,0.040264,0.676471,0.039405,136.0,Afghanistan,AFG,AFG,2020-05-24
0.4432,0.03879,0.48503,0.038556,167.0,Afghanistan,AFG,AFG,2020-05-25
0.570769,0.034542,0.588235,0.03474,204.0,Afghanistan,AFG,AFG,2020-05-26
0.537577,0.034395,0.552381,0.034488,210.0,Afghanistan,AFG,AFG,2020-05-27
0.557975,0.031239,0.577689,0.031409,251.0,Afghanistan,AFG,AFG,2020-05-28
0.471131,0.030657,0.498127,0.030606,267.0,Afghanistan,AFG,AFG,2020-05-29
0.504045,0.030429,0.498155,0.030428,271.0,Afghanistan,AFG,AFG,2020-05-30
0.504045,0.030429,0.498155,0.030428,271.0,Afghanistan,AFG,AFG,2020-05-30
0.588564,0.029889,0.55036,0.029567,278.0,Afghanistan,AFG,AFG,2020-05-31
0.580046,0.030771,0.611111,0.031153,252.0,Afghanistan,AFG,AFG,2020-06-01
0.647805,0.029616,0.629213,0.029287,267.0,Afghanistan,AFG,AFG,2020-06-02
0.673012,0.032465,0.630631,0.031556,222.0,Afghanistan,AFG,AFG,2020-06-03
0.651586,0.034715,0.622449,0.034121,196.0,Afghanistan,AFG,AFG,2020-06-04
0.595959,0.032341,0.629464,0.03286,224.0,Afghanistan,AFG,AFG,2020-06-05
0.626811,0.031282,0.634454,0.031417,238.0,Afghanistan,AFG,AFG,2020-06-06
0.587073,0.032507,0.610619,0.032824,226.0,Afghanistan,AFG,AFG,2020-06-07
0.687343,0.033201,0.658537,0.032457,205.0,Afghanistan,AFG,AFG,2020-06-08
0.684222,0.033798,0.646766,0.032868,201.0,Afghanistan,AFG,AFG,2020-06-09
0.684222,0.033798,0.646766,0.032868,201.0,Afghanistan,AFG,AFG,2020-06-09
0.657596,0.032962,0.671569,0.033304,204.0,Afghanistan,AFG,AFG,2020-06-10
0.69946,0.031482,0.655022,0.030364,229.0,Afghanistan,AFG,AFG,2020-06-11
0.635225,0.027371,0.64918,0.027608,305.0,Afghanistan,AFG,AFG,2020-06-12
0.645551,0.029975,0.644531,0.029955,256.0,Afghanistan,AFG,AFG,2020-06-13
0.631388,0.031233,0.644068,0.03147,236.0,Afghanistan,AFG,AFG,2020-06-14
0.616321,0.032679,0.646512,0.033242,215.0,Afghanistan,AFG,AFG,2020-06-15
0.713252,0.037239,0.640719,0.035101,167.0,Afghanistan,AFG,AFG,2020-06-16
0.60343,0.034932,0.577114,0.034591,201.0,Afghanistan,AFG,AFG,2020-06-17
0.638023,0.03674,0.643275,0.036858,171.0,Afghanistan,AFG,AFG,2020-06-18
0.598864,0.034202,0.647959,0.035099,196.0,Afghanistan,AFG,AFG,2020-06-19
0.598864,0.034202,0.647959,0.035099,196.0,Afghanistan,AFG,AFG,2020-06-19
0.639399,0.03506,0.628272,0.034836,191.0,Afghanistan,AFG,AFG,2020-06-20
0.711756,0.035987,0.703704,0.035697,162.0,Afghanistan,AFG,AFG,2020-06-21
0.604197,0.034961,0.59596,0.034841,198.0,Afghanistan,AFG,AFG,2020-06-22
0.653183,0.036238,0.622222,0.035575,180.0,Afghanistan,AFG,AFG,2020-06-23
0.723457,0.033472,0.698413,0.032622,189.0,Afghanistan,AFG,AFG,2020-06-24
0.555914,0.036095,0.579787,0.036334,188.0,Afghanistan,AFG,AFG,2020-06-25
0.564397,0.039173,0.623377,0.040086,154.0,Afghanistan,AFG,AFG,2020-06-26
0.459233,0.036472,0.550802,0.03654,187.0,Afghanistan,AFG,AFG,2020-06-27
0.658018,0.035548,0.617021,0.03469,188.0,Afghanistan,AFG,AFG,2020-06-28
0.560267,0.039516,0.56962,0.039613,158.0,Afghanistan,AFG,AFG,2020-06-29
0.560267,0.039516,0.56962,0.039613,158.0,Afghanistan,AFG,AFG,2020-06-29
0.628065,0.040314,0.597315,0.039729,149.0,Afghanistan,AFG,AFG,2020-06-30
0.587963,0.039999,0.544872,0.039535,156.0,Afghanistan,AFG,AFG,2020-07-01
0.558574,0.043389,0.572519,0.043551,131.0,Afghanistan,AFG,AFG,2020-07-02
0.556937,0.041179,0.527027,0.040971,148.0,Afghanistan,AFG,AFG,2020-07-03
0.550337,0.043162,0.56391,0.043298,133.0,Afghanistan,AFG,AFG,2020-07-04
0.557373,0.039575,0.53125,0.039391,160.0,Afghanistan,AFG,AFG,2020-07-05
0.521826,0.042509,0.47482,0.042522,139.0,Afghanistan,AFG,AFG,2020-07-06
0.562873,0.042253,0.542857,0.042073,140.0,Afghanistan,AFG,AFG,2020-07-07
0.583833,0.040861,0.567568,0.040656,148.0,Afghanistan,AFG,AFG,2020-07-08
0.44175,0.040633,0.526316,0.040412,152.0,Afghanistan,AFG,AFG,2020-07-09
0.44175,0.040633,0.526316,0.040412,152.0,Afghanistan,AFG,AFG,2020-07-09
0.53266,0.0427,0.514493,0.042627,138.0,Afghanistan,AFG,AFG,2020-07-10
0.562906,0.041958,0.496503,0.041626,143.0,Afghanistan,AFG,AFG,2020-07-11
0.526853,0.041547,0.537931,0.041607,145.0,Afghanistan,AFG,AFG,2020-07-12
0.318463,0.043603,0.388889,0.04167,126.0,Afghanistan,AFG,AFG,2020-07-13
0.44587,0.044727,0.456,0.044637,125.0,Afghanistan,AFG,AFG,2020-07-14
0.524391,0.040859,0.589041,0.041473,146.0,Afghanistan,AFG,AFG,2020-07-15
0.48218,0.042846,0.481752,0.042847,137.0,Afghanistan,AFG,AFG,2020-07-16
0.575989,0.042865,0.544118,0.042533,136.0,Afghanistan,AFG,AFG,2020-07-17
0.418775,0.04506,0.483871,0.044485,124.0,Afghanistan,AFG,AFG,2020-07-18
0.461237,0.044281,0.46875,0.044234,128.0,Afghanistan,AFG,AFG,2020-07-19
0.461237,0.044281,0.46875,0.044234,128.0,Afghanistan,AFG,AFG,2020-07-19
0.469712,0.043605,0.469697,0.043605,132.0,Afghanistan,AFG,AFG,2020-07-20
0.388505,0.042957,0.409091,0.042585,132.0,Afghanistan,AFG,AFG,2020-07-21
0.345169,0.045077,0.421488,0.0434,121.0,Afghanistan,AFG,AFG,2020-07-22
