"DateTime","Australia","Canada","China","Denmark","Finland","France","Germany","Hong Kong","India","Indonesia","Italy","Japan","Malaysia","Mexico","Norway","Philippines","Saudi Arabia","Singapore","Spain","Sweden","Taiwan","Thailand","UAE","UK","USA","Vietnam"
"2020-02-21 23:51:40",,,,,,,,,,,,,,,,,,24
"2020-02-24 23:51:40",,,85,,,,,,,54,,,55,,,62,,,,,,73
"2020-02-25 23:51:40",,,,,,,,90,,,,,,,,,,,,,84
"2020-02-28 23:51:40",,,,,,,,,,,,,,,,,,22
"2020-03-01 23:51:40",,,,,,,,,,,,,,,,,,,,,,,,1
"2020-03-02 23:51:40",,,87,,,,,,,61,,,55,,,61,,,,,,74,,,7
"2020-03-03 23:51:40",,,,,,,,85,,,,,,,,,,,,,85
"2020-03-04 23:51:40",,,,,,,2
"2020-03-06 23:51:40",,,,,,,,,,,,,,,,,,23
"2020-03-09 23:51:40",,,86,,,,,,,47,,,53,,,59,,,,,,73
"2020-03-10 23:51:40",,,,,,5,,85,,,,,,,,,,,,,84
"2020-03-11 23:51:40",,,,,,,,,,,26
"2020-03-12 23:51:40",,,,,,,,,,,,,,,,,,,5
"2020-03-13 23:51:40",,,,,,6,,,,,,,,,,,,21,,,,,,1
"2020-03-15 23:51:40",10
"2020-03-16 23:51:40",,,83,1,1,,1,,43,48,,,55,,3,59,,,,1,,71
"2020-03-17 23:51:40",,6,,,,,,86,,,,62,,17,,,,,,,80,,,,5
"2020-03-18 23:51:40",,,,,,,,,,,,,,,,,35,,,,,,39
"2020-03-19 23:51:40",,,,,,,,,,,59,,,,,,,,25
"2020-03-20 23:51:40",,,,,,12,,,46,,,,,,,,,24,,,,,,2
"2020-03-22 23:51:40",13
"2020-03-23 23:51:40",,9,86,1,1,,3,,,59,,,69,21,3,76,,,,1,,80,,,11,59
"2020-03-24 23:51:40",,,,,,,,88,,,,62,,,,,,,,,87
"2020-03-25 23:51:40",,,,,,,,,,,70,,,,,,47,,42,,,,44
"2020-03-27 23:51:40",,,,,,22,,,65,,,,,,,,,27,,,,,,6
"2020-03-29 23:51:40",20,,,2,2,,,,,,,,,,4,,,,,1
"2020-03-30 23:51:40",,16,83,,,,7,,,71,,67,77,28,,82,,,,,,89,,,17,85
"2020-03-31 23:51:40",,,,,,,,89,,,,,,,,,,,,,87
"2020-04-01 23:51:40",,,,,,,,,,,,,,,,,54,,,,,,63
"2020-04-02 23:51:40",,,,,,,,,,,,,,,,,,,45
"2020-04-03 23:51:40",,,,,,25,,,71,,75,,,,,,,37,,,,,,7
"2020-04-05 23:51:40",23,,,3,5,,,,,,,,,,1,,,,,1
"2020-04-06 23:51:40",,18,85,,,,14,,,70,,73,82,37,,84,,,,,,86,,,29,85
"2020-04-07 23:51:40",,,,,,,,88,,,,,,,,,48,,,,89,,54
"2020-04-08 23:51:40",,,,,,,,,,,,,,,,,,,56
"2020-04-09 23:51:40",,,,,,,,,,,82
"2020-04-10 23:51:40",,,,,,38,,,79,,,,,,,,,73
"2020-04-12 23:51:40",26,,,2,4,,,,,,,,,,9,,,,,10
"2020-04-13 23:51:40",,16,89,,,,17,,,79,,76,80,46,,83,,,,,,90,,,49,84
"2020-04-14 23:51:40",,,,,,,,90,,,,,,,,,59,,,,89,,79,10
"2020-04-16 23:51:40",,,,,,,,,,,85,,,,,,,,65
"2020-04-17 23:51:40",,,,,,43,,,84,,,,,,,,,85,,,,,,11
"2020-04-19 23:51:40",27,,,3,3,,,,,,,,,,6,,,,,6
"2020-04-20 23:51:40",,31,82,,,,24,,,81,,81,83,60,,81,,,,,,90,,,58,82
"2020-04-21 23:51:40",,,,,,,,88,,,,,,,,,,,,,88
"2020-04-22 23:51:40",,,,,,,,,,,,,,,,,60,,,,,,80
"2020-04-23 23:51:40",,,,,,,,,,,89,,,,,,,,66
"2020-04-24 23:51:40",,,,,,47,,,81,,,,,,,,,90,,,,,,13
"2020-04-26 23:51:40",24,,,3,3,,,,,,,,,,5,,,,,4
"2020-04-27 23:51:40",,41,90,,,,38,,,79,,84,86,67,,83,,,,,,88,,,63,87
